rank,protein,driver_score
425,YGR010W,0.5765070645163648
426,YCL031C,0.5764709187121126
427,YOR054C,0.5763274483236479
428,YLR301W,0.5761890737501356
429,YNL078W,0.576129581514646
430,YPL154C,0.5759422400983502
431,YJR069C,0.5757930211612958
432,YJL036W,0.5756048344437836
433,YLR197W,0.575481422321468
434,YLR404W,0.5754435206432713
435,YHL035C,0.5754281226911135
436,YNL023C,0.5752680928932704
437,YKR081C,0.5752199897131479
438,YJR137C,0.57509568684079
439,YFL044C,0.57490882205823
440,YIL112W,0.5748370285400716
441,YNR023W,0.5747913044267992
442,YOR077W,0.5746623975320736
443,YBR170C,0.5745573358961044
444,YKR071C,0.5743760517064483
445,YPL138C,0.5742513097724072
446,YNL241C,0.5741342552929795
447,YNL250W,0.5740024896821235
448,YCL010C,0.5739448359895793
449,YHR019C,0.5739437757336526
450,YPR040W,0.5737724049487046
451,YDR264C,0.5736297201820529
452,YBR289W,0.5735707801756121
453,YHL002W,0.5734761485866731
454,YHL019C,0.5734225761896018
455,YMR226C,0.5732692805991667
456,YNL290W,0.5732490531212935
457,YJL101C,0.5730778098064292
