rank,protein,driver_score
526,YLR197W,0.5750825599320204
527,YFL013C,0.574991013244492
528,YDR384C,0.5749070408369726
529,YDR280W,0.57480377175089
530,YDR075W,0.5747025479108084
531,YMR253C,0.5746026890767219
532,YOL104C,0.5745517915662482
533,YLL031C,0.5744666533127258
534,YKL017C,0.574357247159948
535,YHR152W,0.5742875066398573
536,YJR070C,0.5741896494110692
537,YBL080C,0.5740873678233748
538,YDR212W,0.574017405390701
539,YLR006C,0.5739130412838885
540,YDR374C,0.5738231741840625
541,YER073W,0.5737451081433982
542,YKR050W,0.5736415400773218
543,YDR098C,0.5735502680949631
544,YKR044W,0.5734602302157232
545,YDL049C,0.5733899802310857
546,YMR110C,0.5732871515749093
547,YOR377W,0.5732016962902104
548,YER020W,0.5731032143971203
549,YHR129C,0.5730245779432419
550,YDR506C,0.5729355996167433
551,YDL088C,0.5728399667461815
552,YLL013C,0.5727475002698873
553,YPL270W,0.5726563162548439
554,YOR134W,0.5725656389276546
555,YML008C,0.5724824895495095
556,YDR422C,0.5724043014435689
557,YNL121C,0.5723426272681947
558,YPL005W,0.5722592509741395
559,YDR126W,0.5721627341221025
560,YNR024W,0.5720687044396783
561,YDR005C,0.5719753156259266
